,en,fr
0,Seven climbers are ascending a rock face whilst another man stands holding the rope.,Sept alpinistes montent une face rocheuse alors qu'un autre homme tient la corde.
0,The young gymnast's supple body soars above the balance beam.,Le corps souple du jeune gymnaste s'élève au-dessus de la poutre d'équilibre.
0,A young boy is pushing a toy ATV around a rubber pool,Un jeune garçon pousse un VTT jouet autour d'un bassin de caoutchouc
0,Woman in red windbreaker looking though a rooftop binoculars at the city below.,Femme en brise-vent rouge regardant à travers une jumelle sur le toit la ville en aval.
0,A man is standing in front of a small red object that looks like a plane.,Un homme est debout devant un petit objet rouge qui ressemble à un avion.
0,A dog is playing with a hose.,Un chien joue avec un tuyau.
0,A man and a little girl happily posing in front of their cart in a supermarket.,Un homme et une petite fille se posant en face de leur chariot dans un supermarché.
0,A white dog is about to catch a yellow dog toy.,Un chien blanc est sur le point de capturer un jouet de chien jaune.
0,Guy in green shirt with hand covering part of his face in restaurant booth.,Guy en chemise verte avec la main couvrant une partie de son visage dans un kiosque de restaurant.
0,A black and white dog jumps up towards a yellow toy.,Un chien noir et blanc saute vers un jouet jaune.
0,Two hikers resting by a patch of snow.,Deux randonneurs se reposant à proximité d'un tronçon de neige.
0,A man showing off his new wooden creation.,Un homme montre sa nouvelle création en bois.
0,A elderly father and his grown son are preparing for a camping trip in the wild.,Un père âgé et son fils adulte se préparent à un voyage de camping dans la nature.
0,A bearded traveler in a red shirt sitting in a car and reading a map.,Un voyageur barbu en chemise rouge assis dans une voiture et lisant une carte.
0,A young boy waves his hand at the duck in the water surrounded by a green park.,Un jeune garçon bat la main sur le canard dans l'eau entouré d'un parc vert.
0,A couple sit on the grass with a baby and stroller.,Un couple s’asseoir sur l’herbe avec un bébé et une poussette.
0,Some men standing in front of a building next to a parked car.,Certains hommes se trouvent devant un immeuble à côté d'une voiture stationnée.
0,The black dog runs through the water.,Le chien noir traverse l'eau.
0,A man is drilling through the frozen ice of a pond.,Un homme fore à travers la glace gelée d'un étang.
0,Two large tan dogs play along a sandy beach.,Deux gros chiens bruns jouent le long d'une plage de sable.
0,A person in blue and red ice climbing with two picks.,Une personne en escalade bleue et rouge avec deux picks.
0,Three people walking on a path in a meadow.,Trois personnes marchant sur un chemin dans un pré.
0,"A man in black attire shovels snow into the street, disregarding all public safety.","Un homme en tenue noire pelle la neige dans la rue, méprisant toute sécurité publique."
0,A couple stands behind their wedding cake.,Un couple se tient derrière son gâteau de mariage.
0,A wet black dog is carrying a green toy through the grass.,Un chien noir mouillé transporte un jouet vert dans l'herbe.
0,Villagers selling their crops at the market.,Villagers vendant leurs récoltes au marché.
0,In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.,"Dans un concert surpeuplé, un homme en blanc approche le chanteur principal qui porte une chemise jaune."
0,A boy jumps on his skateboard while a crowd watches,Un garçon saute sur son planche à roulettes tandis qu’une foule regarde
0,A man and a baby are in a yellow kayak on water.,Un homme et un bébé sont dans un kayak jaune sur l'eau.
0,"Two people are sitting on a bench, and one women is standing by them.",Deux personnes sont assises sur un banc et une femme est à leur côté.
0,A construction site on a street with three men working.,Un chantier de construction sur une rue où trois hommes travaillent.
0,"Two men sitting on a bench talking, with a billboard advertisement for glasses in the background.","Deux hommes assis sur un banc discutent, à l'arrière-plan d'un panneau publicitaire pour les lunettes."
0,A group of youths march down the street waving flags showing the color spectrum.,Un groupe de jeunes marchent dans la rue en lançant des drapeaux montrant le spectre des couleurs.
0,Three old men are watching another man prepare fish.,Trois hommes âgés regardent un autre homme préparer du poisson.
0,"A woman in a white tank top with a green flowing skirt, on stage singing a song.","Une femme en chandail blanc et jupe en vrac, chantant une chanson sur scène."
0,Two men and two women sitting on steps outdoors.,Deux hommes et deux femmes sont assis sur des marches à l'extérieur.
0,A brown and black lab are outside and the black lab is catching a toy in its mouth.,Un labeur brun et un labeur noir sont à l'extérieur et le labeur noir a pris un jouet dans sa bouche.
0,"Hockey goalie boy in red jacket crouches by goal, with stick.","Le garçon de gardien de but de hockey en veste rouge se couche par le but, avec le bâton."
0,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading.,L'homme avec le sac à dos est assis dans une cour d'un immeuble devant une sculpture d'art lisant.
0,Toddler boy in a red hat holding on to some railings.,Tout-petit garçon dans un chapeau rouge tenant à quelques rails.
0,Three dogs stand in a grassy field while a person kneels nearby.,Trois chiens se tiennent dans un champ herbeux tandis qu'une personne s'agenouille à proximité.
0,A man is standing in front of a skyscraper,Un homme se tient devant un gratte-ciel
0,A woman is walking her baby with a stroller at the local park.,Une femme marche son bébé avec une poussette dans un parc local.
0,A man in a red shirt is sitting by fruit for sale.,Un homme en chemise rouge est assis près de fruits à vendre.
0,A young blond-haired boy and a dark-haired girl are eating at a kid's table.,Un jeune garçon à cheveux blonds et une jeune fille à cheveux foncés mangent à la table d'un enfant.
0,The boy eats his food outside at the table.,Le garçon mange sa nourriture à l'extérieur à la table.
0,A man wearing black is playing an electric guitar at a concert.,Un homme en noir joue une guitare électrique à un concert.
0,A girl playing softball hits the ball almost directly downwards,Une fille jouant au softball frappe la balle presque directement vers le bas
0,A man in a black shirt plays a black-colored guitar.,Un homme en chemise noire joue une guitare de couleur noire.
0,A man wearing a black shirt smoothing out concrete in an urban area.,Un homme portant une chemise noire lissant le béton dans une zone urbaine.
0,A woman in a white shirt is sitting at a table in a nice restaurant.,Une femme en chemise blanche est assise à une table dans un joli restaurant.
0,A woman is laying on a red blanket in a park.,Une femme se couche sur une couverture rouge dans un parc.
0,A solitary man stand on a bridge in the evening.,Un homme solitaire se tient sur un pont le soir.
0,A child walks in a grassy field.,Un enfant marche dans un champ herbeux.
0,A man and his dog are grilling green beans on a grill.,Un homme et son chien grillent des haricots verts sur un grill.
0,Three people rest on a ledge above the moutains.,Trois personnes se reposent sur une falaise au-dessus des moutons.
0,Many people cross a very tall footbridge with a tree-covered hill in the background.,De nombreuses personnes traversent une très haute passerelle avec une colline recouverte d'arbres à l'arrière-plan.
0,A young boy overlooking a crowd of inflatable boats.,Un jeune garçon surplombant une foule de bateaux gonflables.
0,Two little girls and an old man have a conversation.,Deux petites filles et un vieux homme discutent.
0,"Asian man and blond woman holding hands outdoors, man in background watches.","Un homme asiatique et une femme blond tiennent les mains à l'extérieur, l'homme à l'arrière-plan regarde."
0,An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.,Un homme plus âgé avec des cheveux gris est assis dans une chaise jouant un grand instrument fait de bambou.
0,A man in a white shirt rides a bicycle on a busy street.,Un homme en chemise blanche roule une bicyclette dans une rue achalandée.
0,A man is standing on a ladder painting bricks,Un homme se tient sur une échelle pour peindre des briques
0,A 30 somethings man playing with his phone on a subway train.,Un homme de 30 ans jouant avec son téléphone dans un train de métro.
0,Two women are walking in a crosswalk with a bus in the background.,Deux femmes marchent dans un passage à niveau avec un autobus à l'arrière-plan.
0,A group of people are eating noddles.,Un groupe de gens mangent des bouilloires.
0,A woman is carrying a bowl full of fruit on her head near the ocean side.,Une femme porte un bol plein de fruits sur sa tête près de l'océan.
0,A guy wearing blue in a hole.,Un gars portant du bleu dans un trou.
0,Four children are smiling as they pose together with a bicycle that is much too big for them.,Quatre enfants sourient alors qu'ils posent ensemble avec une bicyclette beaucoup trop grande pour eux.
0,"Two individuals, a male and a female, standing in a forested area around a tub.","Deux individus, un mâle et une femelle, debout dans une zone boisée autour d'un tubage."
0,A sleeping baby is in someone's arms and wearing a pink striped outfit,Un bébé dormant se trouve dans les bras d'une personne et porte un vêtement rayé rose
0,A member of an African tribe is watching the camera intently in tribal dress.,Un membre d'une tribu africaine regarde attentivement la caméra en tenue tribale.
0,A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,Un guerrier samurai en robe noire prend son épée de la sangle sur un tapis d'entraînement extérieur.
0,Several young people sitting on a rail above a crowded beach.,Plusieurs jeunes assis sur un rail au-dessus d'une plage surpeuplée.
0,"Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed.","Cinq randonneurs, l'un en face de la caméra et l'autre en face de celle-ci, marchent dans un lit rocheux."
0,"A security guard stands by a metal, lighted sculpture.",Un gardien se tient à côté d'une sculpture en métal éclairée.
0,"Two women, one in green and the other in purple, washing a sidewalk.","Deux femmes, l'une en vert et l'autre en pourpre, lavaient un trottoir."
0,Two girls crouch in front of some bushes and talk on their phones.,Deux filles s'accrochent devant des buissons et parlent sur leur téléphone.
0,A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,Une jeune fille portant une robe multicolore et tenant une boule orange dans sa main droite marchant dans une herbe vert éclatant derrière une maison
0,A young child playing with a toy while laying on the floor.,Un jeune enfant joue avec un jouet tout en se couchant sur le plancher.
0,A little boy skateboarder is doing a trick on his board while another young skateboarder watches.,Un petit garçon planche à roulettes fait un truc sur sa planche tandis qu'un autre jeune planche à roulettes surveille.
0,Two kids are laughing in the grass.,Deux enfants rire dans l'herbe.
0,"Young woman holding a bottle, reaching out from a bench to shake a man's hand.",Une jeune femme tient une bouteille et s'approche d'un banc pour secouer la main d'un homme.
0,A driver communicating on his walkie talkie.,Un conducteur communiquant sur son walkie talkie.
0,"A girl paddling down a large river, as seen from behind her.","Une fille en plongée dans une grande rivière, derrière elle."
0,A girl with pigtails plays in the water.,Une fille à queues de porc joue dans l'eau.
0,A couple wearing white sweaters sit at a restaurant table.,Un couple portant des chandails blancs assis à une table de restaurant.
0,A meal is on a table in a restaurant.,Un repas se trouve sur une table dans un restaurant.
0,Two construction workers take a seat on a steel beam.,Deux travailleurs de la construction prennent place sur une poutre d'acier.
0,A child happily mixing batter in a bowl.,Un enfant mélange avec plaisir la pâte dans un bol.
0,Two children play with a balloon in mud on a sunny day.,Deux enfants jouent avec un ballon dans la boue une journée ensoleillée.
0,A little girl looking at a brochure on train rides,Une petite fille regardant une brochure sur les trajets en train
0,Two women are sitting and talking and laughing together.,Deux femmes sont assises et parlent et racontent ensemble.
0,People jogging together on a park sidewalk.,Des gens jogging ensemble sur un trottoir du parc.
0,A little kid is jumping off a high dive at the pool.,Un petit enfant saute d'une plongée à haute altitude à la piscine.
0,A light-colored dog runs on the beach.,Un chien de couleur claire se promène sur la plage.
0,A man lounges in a wooden basin of water while eating a fruit.,Un homme se couche dans un bassin d'eau en bois alors qu'il mange un fruit.
0,A man is sleeping on a bench near a bus stop.,Un homme dorme sur un banc près d'un arrêt d'autobus.
0,A little girl in a red shirt and jeans climbs a small tree while another little girl looks on.,Une petite fille en chemise rouge et jeans grimpe un petit arbre tandis qu'une autre petite fille regarde.
0,A man asleep in a car that's driving.,Un homme dormant dans une voiture qui conduit.
0,A woman in a red shirt is under a blanket and sleeping in a vehicle.,Une femme en chemise rouge se trouve sous une couverture et dorme dans un véhicule.
0,A man in a home kitchen is flipping a pancake extremely high.,Un homme dans une cuisine à la maison tourne une crêpe extrêmement haut.
0,Several firefighters are responding to an alarm.,Plusieurs pompiers répondent à une alarme.
0,Several firefighters stand outside of a building near their firetrucks.,Plusieurs pompiers se tiennent à l'extérieur d'un immeuble près de leurs camions de pompiers.
0,"A beach with blue and red boats, with people on shore",Une plage avec des bateaux bleus et rouges et des gens à la rive
0,Men wearing hard hats and safety vests are working.,Les hommes portant des chapeaux durs et des gilets de sécurité travaillent.
0,A magazine vendor sits behind a very colorful collage of magazines.,Un vendeur de magazines se trouve derrière un collage très coloré de magazines.
0,A man in a hard hat is wearing a blue shirt and blue jean overalls.,Un homme portant un chapeau dur porte une chemise bleue et des salopettes bleues.
0,"At the bakery, the fat old baker sleeps while his apprentice rubs the flour out of his eyes, seated beside him."," la boulangerie, le vieux boulanger gras dorme tandis que son apprenti rube la farine de ses yeux, assis à côté de lui."
0,A group of shirtless men are sitting in the shade on a tropical beach.,Un groupe d'hommes sans chemise s'asseoir à l'ombre sur une plage tropicale.
0,A boy in his blue swim shorts at the beach.,Un garçon dans ses shorts de natation bleus à la plage.
0,A skier is overlooking a snow-covered mountain.,Un skieur surplombe une montagne recouverte de neige.
0,A boy wearing a red shirt is riding his bike right next to a mound of dirt.,Un garçon portant une chemise rouge roule sa bicyclette à côté d'un monticule de terre.
0,Bikers in a bike race take a sharp left turn.,Les cyclistes qui participent à une course à bicyclette prennent un virage brusque à gauche.
0,Three boys playing and biking with a pile of sand in the middle,Trois garçons jouant et faisant du vélo avec une pile de sable au milieu
0,Elderly man with a cane bends over near a man and woman.,Un homme âgé avec une canne se plie près d'un homme et d'une femme.
0,A doctor and nurses in blue scrubs are performing an operation.,Un médecin et des infirmières en chaussettes bleues effectuent une opération.
0,A black and white dog jumps after a yellow toy.,Un chien noir et blanc saute après un jouet jaune.
0,A woolly dog chases a Doberman on a beach.,Un chien lapin chasse un Doberman sur une plage.
0,A man stand there after rolling a bowling ball down a lane.,Un homme se tient là après avoir roulé une balle de bowling dans une voie.
0,"An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks.","Un vieux homme altéré et barbu, portant tout le noir, à bord d'un beau âne blanc sur des rochers blancs."
0,A man and woman napping on a blue couch.,Un homme et une femme se couchant sur un canapé bleu.
0,A man wearing a yellow shirt is throwing a javelin on a track.,Un homme portant une chemise jaune jetera un javelin sur une piste.
0,A crowd watching air balloons at night.,Une foule regardant les ballons d'air la nuit.
0,A woman is reading a magazine over another woman's shoulder.,Une femme lit un magazine sur l'épaule d'une autre femme.
0,Two men squat to light candles at night.,Deux hommes se couchent pour allumer des bougies la nuit.
0,A young man is walking through a busy street beside a mall.,Un jeune homme marche dans une rue achalandée à côté d'un centre commercial.
0,The little boy rides his bicycle in a race.,Le petit garçon roule sa bicyclette dans une course.
0,A group of people sitting at a table in a darkened room.,Un groupe de personnes assises à une table dans une pièce sombre.
0,A man with two dogs on a beach,Un homme avec deux chiens sur une plage
0,A boy covered in suds has his face wiped clean.,Un garçon recouvert de savon se voit nettoyer son visage.
0,Dozens of people are partying on a boat.,Des dizaines de personnes se promènent sur un bateau.
0,A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat.,Une jeune femme à bord d'un bateau en bikini de couleur pâle frappe un homme portant un chapeau de cow-boy en paille.
0,A boy sliding down a slide into a pool with colorful tubes.,Un garçon glissant sur une glissière dans une piscine à tubes colorés.
0,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.,Un homme en combinaison humide jette un tout-petit dans les airs et est prêt à le capturer.
0,"A group of people riding in the back of a truck, down the road, in a country area.","Un groupe de personnes à l'arrière d'un camion, en aval d'une route, dans une région rurale."
0,Two chefs prepare burgers in a restaurant kitchen.,Deux chefs préparent des burgers dans une cuisine de restaurant.
0,Two young boys making silly faces.,Deux jeunes garçons faisant des visages ridicules.
0,A person with brown pants is sitting around a fenced area that has sparks flying.,Une personne portant des pantalons bruns est assise autour d'un endroit clôturé où des étincelles volent.
0,Woman on a hill by a white cross overlooking a beach.,Femme sur une colline par une croix blanche surplombant une plage.
0,Four girls are sitting in the grass while several men stand near them.,Quatre filles sont assises dans l'herbe tandis que plusieurs hommes se tiennent près d'elles.
0,Men at work shoveling snow from a rail track.,Hommes à l'uvre pêchant de la neige à partir d'une voie ferrée.
0,"A man, and girl and two horses are near a contained fire.","Un homme, une fille et deux chevaux se trouvent près d'un incendie contrôlé."
0,Workers wearing reflective vests working near a train car.,Travailleurs portant des gilets réfléchissants travaillant près d'une voiture de train.
0,"An older guy looking at a classic, rustic, volkswagen beetle.","Un homme plus âgé regardant un dendroctone volkswagen classique, rustique."
0,A woman assembles a white metal frame on the sidewalk.,Une femme monte un cadre de métal blanc sur le trottoir.
0,There are three dogs starring at a ball in the middle of them.,Il y a trois chiens en tête à une balle au milieu de eux.
0,A shirtless man and a woman sitting on a dock.,Un homme sans chemise et une femme assise sur un quai.
0,Men in safety vests are working on a track.,Des hommes munis de gilets de sécurité travaillent sur une piste.
0,A man fixing the road with his equipment.,Un homme fixe la route avec son équipement.
0,A woman with reddish hair applies mascara to her eyelashes.,Une femme à cheveux rougeâtre applique un mascara à ses cils.
0,A white dog has its head on the ground.,Un chien blanc a sa tête au sol.
0,A woman in blue shorts and a white shirt is indoor rock climbing.,Une femme en shorts bleus et en chemise blanche fait de l'escalade à l'intérieur.
0,Many scooters are parked together on the sidewalk.,De nombreux scooters sont stationnés ensemble sur le trottoir.
0,The regional park police helicopter is preparing to land.,L'hélicoptère de police du parc régional se prépare à atterrir.
0,A man in a reflective jacket positions himself on scaffolding.,Un homme en veste réfléchissante se positionne sur un échafaudage.
0,A group of fourteen is assembled in a hall with dining tables and a stage.,Un groupe de quatorze personnes est rassemblé dans une salle avec tables à manger et une scène.
0,A teenage boy is jumping on an inflatable slide.,Un adolescent saute sur une glissière gonflable.
0,A family playing on a tractor on a beautiful day,Une famille jouant sur un tracteur une belle journée
0,An elderly woman pan frying food in a kitchen.,Une femme âgée faisant frire des aliments dans une cuisine.
0,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress.,Deux jeunes sont approchés par une jeune femme flamboyante vêtue d'un bikini rouge et d'une coiffure rouge à plumes.
0,Two skiers are making their way through woodland.,Deux skieurs font leur chemin dans la forêt.
0,Skiiers at the top of a snow covered hill.,Skieurs au sommet d'une colline couverte de neige.
0,A brown dog running next to grass.,Un chien brun courant à côté de l'herbe.
0,"A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork.","Une femme en chemise verte et jeans s'agenouille sur une pente, avec un café à la main, sa sac à côté et une grande porte derrière elle, alors qu'elle remplit les documents."
0,People are crossing a city street intersection.,Les gens traversent une intersection de rue de la ville.
0,A woman dressed in light purple and wearing a corsage clasps her hands in her lap.,Une femme vêtue d'un pourpre pâle et portant un corsage ferme ses mains dans son patin.
0,A mother and children is fishing on a boardwalk at night.,Une mère et ses enfants pêchent la nuit sur une promenade.
0,Six males playing a game in the sand with wooden paddles.,Six mâles jouant dans le sable à l'aide de pagaies en bois.
0,"A woman in a green tank top is surrounded by three children, laughing.","Une femme en chandail vert est entourée de trois enfants, rires."
0,"A male in a black shirt, and black pants, working on the engine of an old, green antique automobile, with a yellow gas canister sitting on the grass.","Un homme dans une chemise noire et des pantalons noirs, travaillant au moteur d'une vieille automobile ancienne et verte, avec un canister à gaz jaune assis sur l'herbe."
0,A woman in a blue jacket rides a brown pony near water.,Une femme en veste bleue se promène sur un pony brun près de l'eau.
0,Two horses pull a carriage driven by a woman over snow covered ground.,Deux chevaux tirent un chariot conduit par une femme sur un terrain couvert de neige.
0,A person climbing down a sheer rock cliff using a rope,Une personne qui descend une falaise rocheuse à l'aide d'une corde
0,The group of hikers is resting in front of a mountain.,Le groupe de randonneurs se repose devant une montagne.
0,A woman standing in front of a chalk drawing,Une femme debout devant un dessin à craie
0,"Three young adults are sitting around, with the girl pretending to kick one of the guys in the face while laughing, and the guy behind him looks like he's in midsentence.","Trois jeunes adultes sont assis, la fille prétend couper l'un des gars au visage tout en rire, et le gars derrière lui a l'air d'être à mi-parcours."
0,A group of kids in class with their hands in the air.,Un groupe d'enfants en classe avec leurs mains dans l'air.
0,A man wearing swimming trunks jumps off a concrete platform into a large body of water.,Un homme portant des sabots de natation saute d'une plate-forme de béton dans un grand plan d'eau.
0,Woman meticulously working with a sewing machine.,Femme travaillant minutieusement avec une machine à coudre.
0,A lady in a white t-shirt is looking toward the person with their arm raised in the air.,Une femme en t-shirt blanc regarde vers la personne avec son bras soulevé dans l'air.
0,A girl working at a farm market selling peppers.,Une fille travaillant dans un marché agricole vendant des poivrons.
0,An elderly women is sitting in a chair with a cane in her hand.,Une femme âgée est assise dans une chaise avec une canne à la main.
0,A boy has blown four bubbles on the lawn.,Un garçon a explosé quatre bulles sur la pelouse.
0,A little boy playing in the water.,Un petit garçon jouant dans l'eau.
0,Dog running out of tunnel on obstacle course,Dog running out of tunnel on obstacle course
0,A yellow dog and a black and white dog are running in the dirt.,Un chien jaune et un chien noir et blanc courent dans la terre.
0,Two men barbecuing at a beach.,Deux hommes barbecue à la plage.
0,"A little girl in a flower print bathing suit, jumping into the ocean.","Une petite fille dans une combinaison de bain à fleurs, sautant dans l'océan."
0,Little girl in blue swimsuit standing on a handrail near a beach.,Little girl in blue swimsuit standing on a handrail near a beach.
0,A young Asian boy sits on a railing behind a row of colorful hats,Un jeune garçon asiatique s’asseoir sur un rail derrière une rangée de chapeaux colorés
0,A white and black dog is jumping into a pool.,Un chien blanc et noir saute dans une piscine.
0,The boys smiles underwater at the pool.,Les garçons sourient sous l'eau à la piscine.
0,Two people having a discussion sitting in a restaurant.,Deux personnes discutent dans un restaurant.
0,Several people are taking a break while on a snowmobiling ride.,Plusieurs personnes prennent une pause pendant une balade en motoneige.
0,Two people working on removing snow from a roof.,Deux personnes travaillent à enlever la neige d'un toit.
0,A young man wearing a black shirt takes a folding chair from a large stack.,Un jeune homme portant une chemise noire prend une chaise pliante d'une grande pile.
0,A woman is walking at dusk down an urban street.,Une femme marche à la tombée du soleil dans une rue urbaine.
0,A little girl with brown hair is blowing the petals off of a flower.,Une petite fille à cheveux bruns souffle les pétales d'une fleur.
0,Three people on ATV's outside.,Trois personnes sur un VTT à l'extérieur.
0,A man on a four wheeler is flying through the air.,Un homme à bord d'un véhicule à quatre roues vole dans l'air.
0,A man on a four-wheeler jumps near a small building.,Un homme à bord d'un véhicule à quatre roues saute près d'un petit bâtiment.
0,A woman with dark hair wearing a bikini is sitting on a beach.,Une femme à cheveux foncés portant un bikini est assise sur une plage.
